Course_ID,Course_Name,Credits,Department_ID,Professor_ID
C001,Introduction to Programming,3,D001,P001
C002,Data Structures,3,D001,P002
C003,Database Systems,4,D001,P003
C004,Computer Networks,4,D001,P004
C005,Operating Systems,3,D001,P001
C006,Software Engineering,4,D001,P002
C007,Web Development,4,D001,P003
C008,Artificial Intelligence,4,D001,P004
C009,Machine Learning,3,D001,P001
C010,Computer Graphics,4,D001,P002
C011,Digital Logic Design,3,D002,P005
C012,Circuit Analysis,3,D002,P006
C013,Electrical Machines,3,D002,P007
C014,Signal Processing,3,D002,P008
C015,Embedded Systems,4,D002,P005
C016,Control Systems,3,D002,P006
C017,Power Electronics,3,D002,P007
C018,Communication Systems,3,D002,P008
C019,Robotics Engineering,3,D002,P005
C020,Microprocessors,4,D002,P006
C021,Thermodynamics,3,D003,P009
C022,Fluid Mechanics,3,D003,P010
C023,Engineering Materials,3,D003,P011
C024,Mechanical Design,3,D003,P012
C025,Manufacturing Processes,3,D003,P009
C026,Automotive Engineering,3,D003,P010
C027,Heat Transfer,3,D003,P011
C028,Mechanics of Machines,3,D003,P012
C029,Engineering Drawing,3,D003,P009
C030,Advanced Mechanics,4,D003,P010
C031,Structural Analysis,2,D004,P013
C032,Concrete Technology,3,D004,P014
C033,Construction Management,4,D004,P015
C034,Transportation Engineering,3,D004,P016
C035,Surveying,2,D004,P013
C036,Environmental Engineering,3,D004,P014
C037,Geotechnical Engineering,3,D004,P015
C038,Water Resources Engineering,4,D004,P016
C039,Civil Engineering Design,4,D004,P013
C040,Building Information Modeling,3,D004,P014
C041,Calculus I,4,D005,P017
C042,Calculus II,4,D005,P018
C043,Linear Algebra,3,D005,P019
C044,Differential Equations,2,D005,P020
C045,Numerical Methods,3,D005,P017
C046,Abstract Algebra,2,D005,P018
C047,Probability Theory,3,D005,P019
C048,Mathematical Statistics,2,D005,P020
C049,Real Analysis,4,D005,P017
C050,Discrete Mathematics,3,D005,P018
C051,General Physics I,2,D006,P021
C052,General Physics II,2,D006,P022
C053,Quantum Physics,3,D006,P023
C054,Optics,3,D006,P024
C055,Electromagnetism,4,D006,P021
C056,Classical Mechanics,4,D006,P022
C057,Thermal Physics,4,D006,P023
C058,Astrophysics,3,D006,P024
C059,Modern Physics,3,D006,P021
C060,Physics Laboratory,4,D006,P022
C061,General Chemistry,3,D007,P025
C062,Organic Chemistry,3,D007,P026
C063,Inorganic Chemistry,3,D007,P027
C064,Analytical Chemistry,4,D007,P028
C065,Chemical Thermodynamics,2,D007,P025
C066,Biochemistry,3,D007,P026
C067,Chemical Kinetics,2,D007,P027
C068,Environmental Chemistry,4,D007,P028
C069,Polymer Chemistry,3,D007,P025
C070,Chemistry Laboratory,4,D007,P026
C071,Cell Biology,3,D008,P029
C072,Genetics,3,D008,P030
C073,Microbiology,4,D008,P031
C074,Ecology,3,D008,P032
C075,Molecular Biology,4,D008,P029
C076,Plant Biology,3,D008,P030
C077,Animal Biology,2,D008,P031
C078,Marine Biology,3,D008,P032
C079,Immunology,4,D008,P029
C080,Biotechnology,3,D008,P030
C081,Principles of Management,2,D009,P033
C082,Marketing Management,2,D009,P034
C083,Organizational Behavior,4,D009,P035
C084,Strategic Management,4,D009,P036
C085,Business Communication,3,D009,P033
C086,Entrepreneurship,3,D009,P034
C087,Human Resource Management,2,D009,P035
C088,Financial Management,2,D009,P036
C089,International Business,3,D009,P033
C090,Project Management,3,D009,P034
C091,Financial Accounting I,4,D010,P037
C092,Financial Accounting II,3,D010,P038
C093,Managerial Accounting,4,D010,P039
C094,Auditing Principles,4,D010,P040
C095,Tax Accounting,4,D010,P037
C096,Cost Accounting,3,D010,P038
C097,Accounting Information Systems,3,D010,P039
C098,Advanced Accounting,4,D010,P040
C099,Corporate Accounting,4,D010,P037
C100,Accounting Research Methods,4,D010,P038
C101,Microeconomics,3,D011,P041
C102,Macroeconomics,3,D011,P042
C103,Economic Development,3,D011,P043
C104,International Economics,3,D011,P044
C105,Econometrics,2,D011,P041
C106,Public Finance,4,D011,P042
C107,Labor Economics,4,D011,P043
C108,Financial Economics,3,D011,P044
C109,Environmental Economics,4,D011,P041
C110,Economic Policy,3,D011,P042
C111,Constitutional Law,4,D012,P045
C112,Criminal Law,3,D012,P046
C113,Civil Law,4,D012,P047
C114,International Law,3,D012,P048
C115,Legal Research Methods,4,D012,P045
C116,Business Law,3,D012,P046
C117,Administrative Law,4,D012,P047
C118,Family Law,4,D012,P048
C119,Contract Law,3,D012,P045
C120,Human Rights Law,4,D012,P046
C121,Introduction to Psychology,3,D013,P049
C122,Cognitive Psychology,4,D013,P050
C123,Developmental Psychology,3,D013,P051
C124,Social Psychology,2,D013,P052
C125,Clinical Psychology,4,D013,P049
C126,Personality Psychology,4,D013,P050
C127,Educational Psychology,3,D013,P051
C128,Research Methods in Psychology,3,D013,P052
C129,Behavioral Neuroscience,4,D013,P049
C130,Psychological Testing,3,D013,P050
C131,English Grammar,4,D014,P053
C132,English Literature,4,D014,P054
C133,Academic Writing,4,D014,P055
C134,Linguistics,3,D014,P056
C135,Translation Studies,3,D014,P053
C136,English Phonetics,4,D014,P054
C137,Modern Literature,4,D014,P055
C138,Creative Writing,4,D014,P056
C139,Language Teaching Methods,2,D014,P053
C140,Advanced English Studies,2,D014,P054
C141,Introduction to Statistics,3,D015,P057
C142,Statistical Methods,3,D015,P058
C143,Regression Analysis,3,D015,P059
C144,Statistical Computing,4,D015,P060
C145,Data Analysis,3,D015,P057
C146,Applied Statistics,3,D015,P058
C147,Experimental Design,3,D015,P059
C148,Time Series Analysis,4,D015,P060
C149,Multivariate Statistics,2,D015,P057
C150,Advanced Statistical Modeling,4,D015,P058
