Enrollment_ID,Student_ID,Course_ID,Semester_ID,Grade
E00001,S0913,C059,SEM006,A-
E00002,S0707,C013,SEM003,C-
E00003,S0194,C080,SEM008,C+
E00004,S0335,C084,SEM006,B
E00005,S0028,C018,SEM002,B+
E00006,S0838,C143,SEM003,B+
E00007,S0640,C028,SEM007,B
E00008,S0630,C006,SEM003,A
E00009,S0454,C089,SEM006,B-
E00010,S0873,C043,SEM003,A
E00011,S0374,C063,SEM002,C+
E00012,S0326,C065,SEM003,A-
E00013,S0360,C072,SEM002,A-
E00014,S0967,C004,SEM004,F
E00015,S0369,C053,SEM002,C+
E00016,S0212,C072,SEM004,A-
E00017,S0514,C085,SEM002,B-
E00018,S0999,C095,SEM001,B-
E00019,S0192,C001,SEM007,C+
E00020,S0870,C081,SEM004,B
E00021,S0590,C058,SEM001,B-
E00022,S0894,C119,SEM006,A-
E00023,S0461,C070,SEM004,B+
E00024,S0238,C019,SEM008,A
E00025,S0999,C069,SEM006,B+
E00026,S0927,C064,SEM005,B-
E00027,S0697,C001,SEM002,B
E00028,S0066,C072,SEM005,A-
E00029,S0454,C005,SEM004,C+
E00030,S0619,C009,SEM004,C
E00031,S0421,C068,SEM008,C-
E00032,S0511,C054,SEM002,C+
E00033,S0718,C019,SEM002,B
E00034,S0024,C035,SEM006,B
E00035,S0184,C089,SEM007,A-
E00036,S0734,C052,SEM001,C
E00037,S0246,C021,SEM005,C-
E00038,S0066,C070,SEM005,B
E00039,S0335,C010,SEM001,B
E00040,S0055,C056,SEM007,F
E00041,S0620,C016,SEM007,B-
E00042,S0973,C136,SEM002,A-
E00043,S0255,C090,SEM007,C
E00044,S0730,C136,SEM004,B
E00045,S0553,C121,SEM007,B
E00046,S0998,C057,SEM008,A
E00047,S0758,C016,SEM001,B-
E00048,S0163,C080,SEM001,C+
E00049,S0668,C061,SEM002,B+
E00050,S0689,C055,SEM006,F
E00051,S0822,C071,SEM005,C
E00052,S0753,C139,SEM001,B+
E00053,S0285,C033,SEM001,A-
E00054,S0238,C008,SEM005,B+
E00055,S0951,C047,SEM001,C+
E00056,S0955,C036,SEM007,B
E00057,S0479,C011,SEM001,B
E00058,S0950,C012,SEM003,C+
E00059,S0140,C065,SEM007,A-
E00060,S0764,C010,SEM002,B+
E00061,S0629,C117,SEM001,C
E00062,S0304,C104,SEM003,C
E00063,S0261,C030,SEM002,A-
E00064,S0995,C007,SEM007,B-
E00065,S0365,C055,SEM007,B
E00066,S0751,C036,SEM008,C
E00067,S0415,C130,SEM001,A
E00068,S0708,C109,SEM004,C
E00069,S0687,C016,SEM002,B+
E00070,S0315,C067,SEM005,B-
E00071,S0646,C061,SEM008,C-
E00072,S0904,C095,SEM006,B-
E00073,S0409,C043,SEM002,A
E00074,S0250,C108,SEM003,C
E00075,S0087,C072,SEM004,B-
E00076,S0268,C044,SEM005,B
E00077,S0195,C084,SEM004,B+
E00078,S0446,C002,SEM008,C+
E00079,S0373,C032,SEM003,B
E00080,S0751,C035,SEM007,B+
E00081,S0152,C058,SEM003,C+
E00082,S0347,C085,SEM008,C-
E00083,S0324,C091,SEM001,B+
E00084,S0894,C015,SEM007,C-
E00085,S0395,C078,SEM003,C
E00086,S0887,C006,SEM001,C+
E00087,S0439,C003,SEM002,A-
E00088,S0595,C036,SEM001,C+
E00089,S0004,C050,SEM002,C+
E00090,S0067,C098,SEM002,B-
E00091,S0834,C064,SEM008,C+
E00092,S0525,C117,SEM001,A-
E00093,S0515,C006,SEM003,B+
E00094,S0706,C030,SEM002,B+
E00095,S0269,C073,SEM005,B
E00096,S0208,C009,SEM008,C+
E00097,S0309,C070,SEM007,C+
E00098,S0856,C050,SEM008,B+
E00099,S0341,C002,SEM006,B+
E00100,S0894,C021,SEM005,A-
E00101,S0708,C080,SEM006,F
E00102,S0077,C052,SEM004,C
E00103,S0081,C065,SEM003,B-
E00104,S0467,C005,SEM005,C+
E00105,S0554,C013,SEM004,D
E00106,S0343,C031,SEM001,B-
E00107,S0335,C117,SEM007,A
E00108,S0306,C127,SEM004,B
E00109,S0738,C019,SEM005,B-
E00110,S0473,C068,SEM002,F
E00111,S0294,C043,SEM008,A-
E00112,S0056,C053,SEM008,C+
E00113,S0902,C007,SEM006,A
E00114,S0621,C022,SEM008,C-
E00115,S0205,C004,SEM002,B+
E00116,S0309,C115,SEM007,B-
E00117,S0898,C051,SEM001,B-
E00118,S0102,C089,SEM005,F
E00119,S0129,C060,SEM007,B
E00120,S0371,C002,SEM002,C+
E00121,S0544,C025,SEM003,F
E00122,S0161,C032,SEM005,C-
E00123,S0931,C133,SEM007,C-
E00124,S0508,C028,SEM005,C
E00125,S0222,C056,SEM002,F
E00126,S0103,C033,SEM008,D
E00127,S0539,C036,SEM005,B+
E00128,S0414,C040,SEM005,A
E00129,S0241,C054,SEM008,B-
E00130,S0658,C042,SEM003,C
E00131,S0641,C001,SEM005,C+
E00132,S0626,C108,SEM005,B-
E00133,S0422,C009,SEM007,B
E00134,S0414,C050,SEM005,C+
E00135,S0443,C011,SEM008,C-
E00136,S0300,C071,SEM005,C+
E00137,S0169,C074,SEM007,B
E00138,S0787,C003,SEM008,B+
E00139,S0602,C057,SEM006,B-
E00140,S0526,C068,SEM007,B-
E00141,S0589,C002,SEM001,A
E00142,S0725,C025,SEM008,A-
E00143,S0466,C015,SEM003,A
E00144,S0991,C001,SEM002,B+
E00145,S0736,C060,SEM005,B+
E00146,S0015,C033,SEM008,B-
E00147,S0067,C130,SEM005,B+
E00148,S0458,C092,SEM008,D
E00149,S0825,C064,SEM002,B+
E00150,S0769,C080,SEM005,B
E00151,S0644,C058,SEM007,B-
E00152,S0269,C080,SEM005,A-
E00153,S0128,C021,SEM005,B
E00154,S0455,C005,SEM001,C-
E00155,S0278,C065,SEM003,A
E00156,S0476,C058,SEM004,B
E00157,S0055,C013,SEM008,B-
E00158,S0891,C041,SEM006,B
E00159,S0610,C054,SEM008,D
E00160,S0402,C025,SEM003,B
E00161,S0422,C084,SEM006,A-
E00162,S0288,C013,SEM001,B-
E00163,S0993,C055,SEM002,B+
E00164,S0003,C029,SEM005,B
E00165,S0993,C057,SEM004,A
E00166,S0577,C072,SEM003,B
E00167,S0686,C112,SEM003,A-
E00168,S0233,C102,SEM007,F
E00169,S0739,C134,SEM001,B+
E00170,S0965,C069,SEM006,B
E00171,S0873,C043,SEM001,B
E00172,S0309,C115,SEM005,B
E00173,S0514,C118,SEM006,B
E00174,S0098,C084,SEM002,B+
E00175,S0260,C038,SEM004,C
E00176,S0706,C084,SEM002,C
E00177,S0624,C055,SEM004,C-
E00178,S0105,C002,SEM007,A
E00179,S0405,C056,SEM004,F
E00180,S0753,C126,SEM001,F
